,index,STATION,DATE,TMAX,TMIN,YEAR,MONTH,DAY
20004,20004,USW00093821,2015-12-16 00:00:00,66.0,39.0,2015,12,16
16718,16718,USW00093821,2006-12-17 00:00:00,70.0,57.0,2006,12,17
62223,62223,USC00154955,2016-12-18 00:00:00,65.0,26.0,2016,12,18
17451,17451,USW00093821,2008-12-19 00:00:00,69.0,37.0,2008,12,19
19278,19278,USW00093821,2013-12-20 00:00:00,64.0,52.0,2013,12,20
19279,19279,USW00093821,2013-12-21 00:00:00,70.0,60.0,2013,12,21
61143,61143,USC00154955,2013-12-22 00:00:00,69.0,60.0,2013,12,22
20011,20011,USW00093821,2015-12-23 00:00:00,70.0,58.0,2015,12,23
61865,61865,USC00154955,2015-12-24 00:00:00,70.0,56.0,2015,12,24
61866,61866,USC00154955,2015-12-25 00:00:00,68.0,46.0,2015,12,25
20380,20380,USW00093821,2016-12-26 00:00:00,76.0,56.0,2016,12,26
62231,62231,USC00154955,2016-12-27 00:00:00,76.0,44.0,2016,12,27
61869,61869,USC00154955,2015-12-28 00:00:00,69.0,42.0,2015,12,28
61870,61870,USC00154955,2015-12-29 00:00:00,68.0,42.0,2015,12,29
17462,17462,USW00093821,2008-12-30 00:00:00,60.0,32.0,2008,12,30
18193,18193,USW00093821,2010-12-31 00:00:00,68.0,52.0,2010,12,31
